epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,616.923,0.62382,0.94256,0.68862,0.97405,0.7472,0.79231,0.84318,0.7369,0.7924,0.73368,0.83991,0.67901,0.57072,1.1973,0.71504,0.95622,0.00134794,0.00134794,0.00134794
31,636.403,0.61427,0.94559,0.64048,0.96155,0.70422,0.85373,0.81453,0.70134,0.70047,0.84861,0.81216,0.64957,0.57192,1.23515,0.75979,0.95717,0.00133693,0.00133693,0.00133693
32,655.72,0.60066,0.89611,0.63091,0.96041,0.67996,0.84188,0.85044,0.74696,0.8153,0.69551,0.84756,0.69742,0.556,1.17455,0.6876,0.94862,0.00132593,0.00132593,0.00132593
33,675.262,0.60408,0.88385,0.64802,0.95725,0.72201,0.83891,0.83854,0.73391,0.71607,0.82934,0.8233,0.67653,0.56326,1.25439,0.70397,0.95717,0.00131493,0.00131493,0.00131493
34,694.239,0.58961,0.88429,0.65371,0.96012,0.77907,0.74103,0.81712,0.70873,0.76954,0.7391,0.80324,0.65701,0.60523,1.32733,0.7193,0.98555,0.00130393,0.00130393,0.00130393
35,713.258,0.60958,0.89539,0.67164,0.97301,0.71577,0.81688,0.83167,0.71894,0.71506,0.80914,0.82696,0.67357,0.60554,1.3105,0.69017,0.98386,0.00129293,0.00129293,0.00129293
36,732.362,0.601,0.91815,0.6385,0.951,0.76305,0.74167,0.81551,0.70824,0.76561,0.73835,0.8053,0.65148,0.58566,1.38809,0.73995,0.96756,0.00128192,0.00128192,0.00128192
37,751.609,0.57601,0.90433,0.62221,0.95593,0.76797,0.80577,0.84985,0.74266,0.77621,0.80299,0.83481,0.66103,0.56818,1.29802,0.65342,0.96649,0.00127092,0.00127092,0.00127092
38,770.833,0.58773,0.9076,0.61794,0.95439,0.6902,0.8391,0.83341,0.72816,0.69222,0.83355,0.83113,0.6766,0.57928,1.17918,0.70801,0.97189,0.00125992,0.00125992,0.00125992
39,789.959,0.60486,0.91681,0.65935,0.96858,0.76899,0.81132,0.84281,0.73725,0.76202,0.80214,0.83519,0.67773,0.55886,1.1979,0.7051,0.94218,0.00124892,0.00124892,0.00124892
40,809.013,0.56608,0.84839,0.62293,0.93527,0.70821,0.84295,0.83568,0.72784,0.70384,0.83739,0.83319,0.67527,0.58467,1.19357,0.67357,0.97195,0.00123791,0.00123791,0.00123791
41,827.973,0.57398,0.87121,0.59379,0.95338,0.68567,0.8594,0.84242,0.73639,0.68026,0.85097,0.83173,0.67878,0.56161,1.21329,0.65267,0.94954,0.00122691,0.00122691,0.00122691
42,846.786,0.56763,0.85878,0.61022,0.9443,0.74465,0.79444,0.83451,0.73367,0.73722,0.78623,0.82454,0.68754,0.5556,1.19248,0.69108,0.96115,0.00121591,0.00121591,0.00121591
43,865.925,0.56829,0.81967,0.58102,0.94785,0.78483,0.7642,0.84086,0.73872,0.78218,0.76142,0.83806,0.70142,0.58129,1.14596,0.70535,0.96003,0.00120491,0.00120491,0.00120491
44,884.988,0.56384,0.84941,0.60248,0.94174,0.73926,0.78077,0.8185,0.72205,0.73088,0.77158,0.80663,0.63902,0.55401,1.23812,0.69703,0.95559,0.00119391,0.00119391,0.00119391
45,903.862,0.57283,0.83063,0.61481,0.93988,0.70642,0.83996,0.8272,0.73161,0.69921,0.83162,0.82264,0.69446,0.55211,1.04822,0.67958,0.94145,0.0011829,0.0011829,0.0011829
46,922.962,0.57789,0.84289,0.59099,0.94604,0.72483,0.81261,0.84149,0.75007,0.71987,0.80705,0.83686,0.69571,0.56623,1.06235,0.6578,0.94132,0.0011719,0.0011719,0.0011719
47,942.068,0.57181,0.83062,0.6257,0.94995,0.66461,0.82903,0.82962,0.73165,0.66266,0.82625,0.82237,0.67401,0.56195,1.19492,0.82656,0.94795,0.0011609,0.0011609,0.0011609
48,961.048,0.56579,0.84242,0.5978,0.94714,0.73407,0.85641,0.83939,0.74261,0.73243,0.85363,0.83493,0.70829,0.53737,1.06488,0.68966,0.935,0.0011499,0.0011499,0.0011499
49,980.15,0.55528,0.79485,0.57322,0.93118,0.71084,0.83747,0.83273,0.7401,0.70638,0.83555,0.82467,0.70457,0.56117,1.11857,0.74037,0.95924,0.00113889,0.00113889,0.00113889
50,999.153,0.56928,0.82163,0.63313,0.93841,0.74115,0.82991,0.84657,0.74082,0.73873,0.82714,0.84344,0.70933,0.55718,1.00745,0.65813,0.95581,0.00112789,0.00112789,0.00112789
51,1018.37,0.57437,0.79908,0.61618,0.95352,0.73658,0.82524,0.84579,0.73541,0.73658,0.82524,0.84418,0.71435,0.56496,1.01342,0.64819,0.95351,0.00111689,0.00111689,0.00111689
52,1038.57,0.54379,0.77758,0.56612,0.92886,0.85851,0.72415,0.84817,0.7531,0.85851,0.72415,0.8478,0.7254,0.55083,1.02377,0.66582,0.9485,0.00110589,0.00110589,0.00110589
53,1058.69,0.54922,0.77088,0.55946,0.93578,0.78435,0.77714,0.86112,0.75666,0.77863,0.77158,0.85559,0.72602,0.5394,0.99039,0.62125,0.94108,0.00109489,0.00109489,0.00109489
54,1078.15,0.55204,0.78541,0.54159,0.92805,0.74705,0.84001,0.86501,0.76637,0.74457,0.83723,0.85467,0.72645,0.5366,0.98086,0.63521,0.92776,0.00108388,0.00108388,0.00108388
55,1099.4,0.55143,0.79785,0.57088,0.94086,0.76935,0.8142,0.8554,0.76431,0.76383,0.80864,0.84797,0.73156,0.53423,1.06994,0.63367,0.93692,0.00107288,0.00107288,0.00107288
56,1118.92,0.54031,0.77549,0.54215,0.92981,0.75484,0.83214,0.83599,0.73798,0.74986,0.82659,0.83154,0.715,0.53535,0.9955,0.64142,0.93491,0.00106188,0.00106188,0.00106188
57,1137.85,0.5515,0.76729,0.57433,0.93506,0.70153,0.80441,0.82167,0.7275,0.70153,0.80441,0.82368,0.69043,0.53923,1.05208,0.68143,0.93204,0.00105088,0.00105088,0.00105088
58,1156.7,0.54563,0.79463,0.59199,0.936,0.80125,0.75278,0.85382,0.75336,0.7986,0.75,0.84974,0.71613,0.53033,1.05197,0.6166,0.93303,0.00103987,0.00103987,0.00103987
59,1175.42,0.53504,0.7834,0.56395,0.93098,0.73786,0.81795,0.85366,0.7628,0.73786,0.81795,0.85187,0.73508,0.53117,1.00939,0.63248,0.93846,0.00102887,0.00102887,0.00102887
60,1194.57,0.5496,0.77343,0.55536,0.94178,0.74783,0.79611,0.84068,0.74458,0.74513,0.79333,0.8378,0.72059,0.5425,1.07847,0.69271,0.93421,0.00101787,0.00101787,0.00101787
