epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1036.25,0.61368,0.63856,0.99342,0.82179,0.88893,0.91005,0.80889,0.53877,0.5577,0.9732,0.00121591,0.00121591,0.00121591
43,1066.89,0.6203,0.62979,0.99954,0.82436,0.86718,0.90665,0.80259,0.53977,0.55827,0.97153,0.00120491,0.00120491,0.00120491
44,1096.45,0.62666,0.63742,1.00378,0.81167,0.88389,0.90875,0.80416,0.53897,0.55269,0.96658,0.00119391,0.00119391,0.00119391
45,1126.24,0.6007,0.60404,0.98613,0.8141,0.89613,0.91002,0.81186,0.51534,0.54489,0.95514,0.0011829,0.0011829,0.0011829
46,1156.62,0.59071,0.60804,0.97387,0.83263,0.86406,0.9105,0.81479,0.51441,0.53776,0.95153,0.0011719,0.0011719,0.0011719
47,1180.87,0.5919,0.61135,0.99196,0.8197,0.87441,0.90396,0.8038,0.53614,0.56848,0.96632,0.0011609,0.0011609,0.0011609
48,1204.57,0.59434,0.60982,0.98939,0.7995,0.91629,0.91644,0.81568,0.52361,0.53216,0.95806,0.0011499,0.0011499,0.0011499
49,1228.19,0.59659,0.60378,0.9872,0.81588,0.86899,0.90783,0.80916,0.53285,0.56827,0.96156,0.00113889,0.00113889,0.00113889
50,1251.78,0.58782,0.58793,0.97663,0.8192,0.90273,0.92006,0.82097,0.52547,0.51902,0.95563,0.00112789,0.00112789,0.00112789
51,1275.59,0.58524,0.60873,0.9749,0.82384,0.8759,0.91114,0.81034,0.5183,0.54649,0.95706,0.00111689,0.00111689,0.00111689
52,1299.11,0.60195,0.6223,0.99149,0.81678,0.90713,0.91697,0.81412,0.53427,0.52478,0.96582,0.00110589,0.00110589,0.00110589
53,1322.71,0.58092,0.564,0.98754,0.83146,0.88716,0.92318,0.8231,0.51712,0.50917,0.95661,0.00109489,0.00109489,0.00109489
54,1346.32,0.59771,0.61177,0.99568,0.8374,0.86755,0.91028,0.80939,0.52105,0.5384,0.95914,0.00108388,0.00108388,0.00108388
55,1369.85,0.57967,0.60342,0.98625,0.83185,0.86543,0.91769,0.82035,0.50415,0.53869,0.94656,0.00107288,0.00107288,0.00107288
56,1393.51,0.55394,0.55051,0.96346,0.83438,0.89313,0.92862,0.83079,0.51824,0.51072,0.9528,0.00106188,0.00106188,0.00106188
57,1417.34,0.58688,0.58716,0.99228,0.84199,0.87414,0.92174,0.82414,0.50988,0.52823,0.95255,0.00105088,0.00105088,0.00105088
58,1441.31,0.57622,0.5852,0.97534,0.843,0.86843,0.91511,0.81599,0.51673,0.5409,0.95052,0.00103987,0.00103987,0.00103987
59,1464.77,0.58122,0.57771,0.97909,0.83036,0.89681,0.92062,0.82603,0.49971,0.52193,0.94642,0.00102887,0.00102887,0.00102887
60,1489.12,0.58226,0.58559,0.98193,0.82186,0.88961,0.90592,0.80588,0.5082,0.53531,0.94979,0.00101787,0.00101787,0.00101787
61,1512.83,0.58416,0.57943,0.97861,0.8626,0.84836,0.9232,0.82761,0.50051,0.51462,0.94342,0.00100687,0.00100687,0.00100687
62,1536.52,0.57398,0.5652,0.96497,0.83699,0.89317,0.92654,0.8361,0.49515,0.50995,0.93586,0.000995866,0.000995866,0.000995866
63,1560.43,0.56548,0.54419,0.96459,0.84093,0.90757,0.9286,0.83625,0.50302,0.48633,0.94397,0.000984864,0.000984864,0.000984864
64,1584.1,0.59312,0.62957,0.99022,0.81303,0.90137,0.89801,0.80011,0.50344,0.55192,0.94879,0.000973861,0.000973861,0.000973861
65,1607.74,0.56308,0.55755,0.96979,0.85942,0.87716,0.93505,0.84142,0.49071,0.48594,0.94349,0.000962859,0.000962859,0.000962859
66,1631.66,0.57602,0.56625,0.98777,0.84943,0.9082,0.93488,0.84177,0.4986,0.47557,0.94375,0.000951857,0.000951857,0.000951857
67,1655.39,0.57353,0.58495,0.98945,0.85363,0.89203,0.93503,0.8443,0.48882,0.4683,0.93875,0.000940855,0.000940855,0.000940855
68,1679.28,0.55457,0.54425,0.96556,0.86058,0.85413,0.92402,0.82493,0.51317,0.54647,0.95025,0.000929853,0.000929853,0.000929853
69,1702.71,0.57505,0.54923,0.98006,0.84018,0.8976,0.93009,0.83629,0.49661,0.49494,0.9381,0.00091885,0.00091885,0.00091885
70,1726.99,0.54409,0.54382,0.96067,0.85971,0.90664,0.94317,0.84943,0.48034,0.46116,0.92578,0.000907848,0.000907848,0.000907848
71,1751.31,0.55204,0.51875,0.96766,0.86351,0.89761,0.93952,0.85118,0.47987,0.45004,0.93004,0.000896846,0.000896846,0.000896846
72,1775.74,0.53935,0.51424,0.94877,0.85921,0.90105,0.94026,0.8484,0.48772,0.45767,0.93318,0.000885844,0.000885844,0.000885844
73,1799.62,0.54294,0.51376,0.95452,0.85276,0.90028,0.9409,0.84759,0.48124,0.46196,0.92394,0.000874842,0.000874842,0.000874842
74,1823.35,0.54216,0.50146,0.95392,0.86474,0.89397,0.94406,0.85192,0.47445,0.44942,0.92695,0.000863839,0.000863839,0.000863839
75,1847.61,0.54078,0.51989,0.95912,0.86335,0.8922,0.93469,0.83594,0.4769,0.46826,0.93234,0.000852837,0.000852837,0.000852837
76,1871.35,0.54014,0.50327,0.95289,0.85933,0.90572,0.94166,0.84841,0.47872,0.44565,0.92797,0.000841835,0.000841835,0.000841835
77,1894.82,0.54562,0.49966,0.96101,0.86947,0.89731,0.94401,0.85277,0.47691,0.45756,0.92773,0.000830833,0.000830833,0.000830833
78,1918.64,0.55696,0.51114,0.9803,0.87087,0.8957,0.94508,0.85351,0.47747,0.44454,0.92997,0.000819831,0.000819831,0.000819831
79,1942.17,0.53608,0.52052,0.95491,0.8733,0.90059,0.94771,0.85881,0.47359,0.45266,0.92949,0.000808828,0.000808828,0.000808828
80,1966.18,0.53525,0.50081,0.95009,0.87348,0.89797,0.94211,0.85701,0.47048,0.43774,0.92637,0.000797826,0.000797826,0.000797826
81,1989.8,0.53072,0.48932,0.94385,0.86894,0.90885,0.94372,0.85448,0.47484,0.44807,0.92776,0.000786824,0.000786824,0.000786824
82,2013.34,0.54268,0.5108,0.95236,0.86371,0.90064,0.94297,0.8511,0.48011,0.45379,0.93068,0.000775822,0.000775822,0.000775822
83,2037.13,0.55435,0.52515,0.96686,0.86356,0.90233,0.94793,0.858,0.47089,0.43405,0.92638,0.00076482,0.00076482,0.00076482
84,2060.71,0.52578,0.50151,0.94647,0.87546,0.88643,0.93917,0.85066,0.46798,0.43809,0.9222,0.000753817,0.000753817,0.000753817
